cdsCode|lea|priorityNumber|requiredData|eduAlternate|devPlan|policyDev|partialCredit|altPlacement|additionalInfo|meetingDate|performance|year
14101400000000|Inyo County Office of Education|9|4|4|5|5|3|4||2019-10-17|Met|2019
15101570000000|Kern County Office of Education|9|5|5|5|5|1|5||2019-10-08|Met|2019
16101650000000|Kings County Office of Education|9|3|3|4|3|1|3||2019-10-15|Met|2019
17101730000000|Lake County Office of Education|9|3|4|4|3|4|4||2019-06-12|Met|2019
18101810000000|Lassen County Office of Education|9|4|3|4|4|4|3||2019-04-17|Met|2019
19101990000000|Los Angeles County Office of Education|9|4|4|4|5|3|4||2019-10-29|Met|2019
20102070000000|Madera County Superintendent of Schools|9|4|4|4|4|1|4||2019-10-08|Met|2019
21102150000000|Marin County Office of Education|9|5|4|5|5|3|5||2019-10-15|Met|2019
22102230000000|Mariposa County Office of Education|9|4|4|3|4|5|3||2019-10-10|Met|2019
23102310000000|Mendocino County Office of Education|9|3|2|3|3|3|2||2019-10-14|Met|2019
24102490000000|Merced County Office of Education|9|3|4|4|4|2|5||2019-10-21|Met|2019
25102560000000|Modoc County Office of Education|9|5|5|5|5|5|5||2019-10-14|Met|2019
26102640000000|Mono County Office of Education|9|5|5|5|5|3|5||2019-10-03|Met|2019
27102720000000|Monterey County Office of Education|9|4|4|4|4|3|4||2019-10-16|Met|2019
28102800000000|Napa County Office of Education|9|5|5|5|5|5|5||2019-10-01|Met|2019
29102980000000|Nevada County Office of Education|9|4|4|3|3|2|3||2019-10-09|Met|2019
30103060000000|Orange County Department of Education|9|5|4|4|5|4|5||2019-10-16|Met|2019
31103140000000|Placer County Office of Education|9|5|5|5|5|5|5||2019-06-13|Met|2019
32103220000000|Plumas County Office of Education|9|0|0|0|0|0||||Not Met|2019
33103300000000|Riverside County Office of Education|9|4|4|4|4|4|4|RCOE Alternative Education used the local performance indicator for the coordination of services for expelled students.|2019-10-02|Met|2019
34103480000000|Sacramento County Office of Education|9|5|5|5|5|5|5|One of SCOE's greatest strengths is its coordination of services for expelled students. SCOE is proud of its consistently high Successful Transitions Rate, 95% in 2018-19. Metric indicators include systematized validation of timely records transfers, HiSET passing rates, and the percentage of students earning a high school diploma. Each student referred to our programs participates in an extensive enrollment process to identify needed services such as English Language Development, special education services, and/or foster youth,homeless, or former court school student status.  Upon completion, a centralized Registrar contacts the appropriate departments within SCOE to ensure appropriate services are immediately in place. This includes coordination of any outside services and supports that may be needed such as drug and alcohol counseling, anger management classes, mental health services, and possibly parenting classes for teen parents. SCOE administrators lead or participate in many multi-agency teams that lead service delivery for expelled students. This is done in cooperation with district placement officers, child welfare professionals, juvenile courts judges and staff, and mental health agencies. Each team meets quarterly to share data and coordinate instruction of expelled students.|2019-10-15|Met|2019
35103550000000|San Benito County Office of Education|9|5|5|5|5|5|5||2019-10-10|Met|2019
36103630000000|San Bernardino County Office of Education|9|4|4|5|4|2|5|Schools have a legal obligation pursuant to Education Code Sections 49069 .5 and 51225 .2 to calculate, issue, and accept partial credits, even if their school district boards have not yet adopted a partial credit policy. For this reason, no memorandum of understanding has been sought between SBCSS and SB county districts.|2019-10-07|Met|2019
37103710000000|San Diego County Office of Education|9|4|4|5|4|5|5||2019-10-09|Met|2019
38103890000000|San Francisco County Office of Education|9|2|3|1|2|3|2||2019-10-15|Met|2019
39103970000000|San Joaquin County Office of Education|9|5|5|5|5|5|5||2019-10-16|Met|2019
40104050000000|San Luis Obispo County Office of Education|9|5|5|5|5|5|5||2019-10-03|Met|2019
41104130000000|San Mateo County Office of Education|9|4|4|4|3|2|4||2019-10-16|Met|2019
42104210000000|Santa Barbara County Office of Education|9|5|4|5|5|3|3|In Santa Barbara County, districts utilize a variety of evidence-based prevention and intervention programs to support high-risk youth, promote positive outcomes, and mitigate potential disruption to the educational process in order to avoid expulsion. The following are widely used programs, approaches and strategies: ·      Data-based Decision Making and Problem Solving ·      Multi-Tiered Systems of Support (MTSS) ·      Advancement Via Individual Determination (AVID) ·      Positive Behavior Intervention and Support (PBIS) ·      CHAMPS Classroom Management System ·      Restorative Practices ·      Trauma Informed Care ·      Building Resiliency in Students ·      Teen Court ·      Truancy Programs ·      Writing Appropriate Rehabilitation Plans and Monitoring Progress ·      Creating Successful Transition Plans ·      College and Career Opportunities ·      Professional Development for Educational Staff|2019-10-03|Met|2019
43104390000000|Santa Clara County Office of Education|9|5|5|5|5|2|5||2019-10-16|Met|2019
44104470000000|Santa Cruz County Office of Education|9|5|5|5|5|4|5|The Santa Cruz County Office of Education coordinates services for expelled youth with local school districts and charter schools. The three-year plan will be reviewed and updated in the Spring of 2021 and was most recently submitted to the Santa Cruz COE Board on June 2018. The plan was developed in collaboration with all LEAs within the county. The spring 2021 update will include agreements regarding partial credits.|2019-10-17|Met|2019
45104540000000|Shasta County Office of Education|9|5|5|5|5|3|5||2019-10-09|Met|2019
46104620000000|Sierra County Office of Education|9|0|0|0|0|0||||Not Met For Two or More Years|2019
47104700000000|Siskiyou County Office of Education|9|5|5|5|4|5|5||2019-10-16|Met|2019
48104880000000|Solano County Office of Education|9|5|5|5|5|1|5|The Solano County Office of Education (SCOE) convenes and coordinates a county-wide Student Services Council, representing our six member districts.  The council completed a three-year revision of the Plan for Expelled Students in July 2018.  SCOE supports the continuum of services for expelled students with its Golden Hills Community School (GHCS).  The plan is evaluated every year to address any emerging issues and evaluate ongoing practices.  The plan we developed in collaboration with our school districts does not include an agreement for partial credits.  Students who are expelled and attend districts’ community day schools or our GHCS re-enter their school of residence at semester end allowing them to complete their courses before transferring.  The transition from our SCOE programs to the districts of residence is facilitated and supported by our student support specialists who work with receiving districts and schools to provide a smooth transition for students.  The county wide expulsion rate decreased from 0.18% in 2015-16 to 0.10% in 2017-18.|2019-11-13|Met|2019
49104960000000|Sonoma County Office of Education|9|4|4|5|4|3|3||2019-11-07|Met|2019
50105040000000|Stanislaus County Office of Education|9|4|4|5|5|5|3||2019-10-08|Met|2019
51105120000000|Sutter County Office of Education|9|5|5|4|3|3|2||2019-10-09|Met|2019
52105200000000|Tehama County Department of Education|9|4|3|4|3|1|2||2019-10-09|Met|2019
53105380000000|Trinity County Office of Education|9|3|3|4|3|3|3||2019-10-16|Met|2019
54105460000000|Tulare County Office of Education|9|5|5|5|5|2|5|A significant aspect of TCOE Court and Community Schools work is providing educational services for expelled students within our county.|2019-10-09|Met|2019
55105530000000|Tuolumne County Superintendent of Schools|9|5|5|5|5|1|5|The COE and LEAs currently do not have an MOU for partial credits; however, a Transition Plan is in place with Probation and TCSOS. We will seek to expand the Transition Plan to include all youth from all programs and add the LEAs.. All LEAs honor partial credits earned at court schools and alternative education programs. The Tuolumne County Expelled Youth Plan can be located https://www.tcsos.us/wp-content/uploads/Tuolumne-County-Expelled-Youth-Plan-2018_2021.pdf.|2019-10-14|Met|2019
56105610000000|Ventura County Office of Education|9|3|4|3|4|3|3||2019-10-28|Met|2019
57105790000000|Yolo County Office of Education|9|5|5|5|5|5|5|Self-Evaluation Tool completed by the Executive Director, Director, Principal, and Vice Principal on 09/16/19.|2019-09-24|Met|2019
58105870000000|Yuba County Office of Education|9|4|5|5|5|3|5||2019-10-09|Met|2019
