cdsCode|lea|priorityNumber|numMisassignments|numMaterials|numFacilities|meetingDate|performance|additionalInfo|year
51105120138040|AeroSTEM Academy|1|0|100%|0|2019-10-11|Met|AeroSTEM Academy seeks out highly qualified instructors from a variety of backgrounds with real world experience in the sciences, education, air and space technologies and more. While many of our teachers are new to the field, many of them hold advanced degrees in their field of study and have accomplished honors such as teaching at the college level, presenting at world wide conferences, and researching and writing curriculum and research papers. We are proud to recruit and incorporate these experienced professionals into the field of education.   Currently located at the beautiful Yuba Sutter Fairgrounds, it is the goal of AeroSTEM Academy to build and occupy our own facility. To this end we have planned and had approved a new facility to be located at the Sutter County Airport, scheduled for move in Spring 2020.|2019
19647330118588|Alain Leroy Locke College Preparatory Academy|1|0,0,2|0|0|2019-11-01|Met||2019
01611190130609|Alameda Community Learning Center|1|2|0|0|2019-09-19|Met|We are currently in the process of getting two elective staff the specific credential needed for the content they are currently teaching. We are working closely with our authorizing agency and the County and are in compliance.|2019
01100170000000|Alameda County Office of Education|1|0|0|0|2019-10-15|Met|The 22 teachers employed by the Alameda County Office of Education’s Court and Community schools are fully and appropriately credentialed under California Education Code Section 44865 (TITLE 2. ELEMENTARY AND SECONDARY EDUCATION [33000 - 64100] CHAPTER 4. Employment—Certificated Employees [44800 - 45061.5]) which states “A valid teaching credential issued by the State Board or the Commission on Teacher Credentialing, based on a bachelor s degree, student teaching, and special fitness to perform, shall be deemed qualifying for assignment as a teacher in the following assignments...: (g) Opportunity schools. (h) Juvenile court schools. (i) County community schools. (j) District community day schools. (k) Independent study.  All students in Alameda County Office of Education schools, including low-income and/or minority students, are taught at the same rate by effective, appropriately aligned, and in field teachers.|2019
01611190000000|Alameda Unified|1|99% of teachers where appropriately assigned, 95.3% of teachers were fully credentialed and highly qualified, and 99.5% of teachers were qualified to teach ELs. There were 19 vacant teacher positions over the course of the year.|0|0|2019-06-25|Met|AUSD demonstrates high percentages in the areas of facilities, instructional materials, and misassignments/vacant teaching positions. 100% of school sites promptly address complaints or other deficiencies.  A log is maintained to record when responses are due, when they were responded to, when they were official considered closed. All communication and responses are documented and filed with separate case numbers assigned to each complaint. AUSD has 0 instances of students without access to standards-aligned instructional materials, and 0 instances where facilities do not meet the good repair standard. Vacant teacher position means a position to which a single designated certificated employee has not been assigned at the beginning of the year for an entire year or, if the position is for a one-semester course, a position to which a single designated certificated employee has not been assigned at the beginning of a semester for an entire semester. Many of our vacant teaching positions are due to individuals starting the school year but then needing to take a leave of absence in which another teacher is hired into the position. The percentage of appropriately assigned and qualified teachers (99 and 95 percent respectively) is high given the demand and limited supply of teachers in the state and region.|2019
01611270000000|Albany City Unified|1|1|0|0|2019-10-22|Met||2019
37683386120935|Albert Einstein Academy Charter Elementary|1|1|0|0|2019-11-12|Met||2019
37683380111898|Albert Einstein Academy Charter Middle|1|1|0|0|2019-11-12|Met||2019
12630320111203|Alder Grove Charter School 2|1|0|0|0|2019-10-08|Met||2019
49705990000000|Alexander Valley Union Elementary|1|0|0|0|2019-08-15|Met||2019
19647336061543|Alfred B. Nobel Charter Middle|1|0, 0, 0|0|0|2019-10-29|Met|Based on the SARC it shows that we have 2 teacher misassignments and 1 vacant teacher position. Current data at our school indicates that we have a total of zero teacher misassignments and 0 teacher vacant positions.|2019
19757130000000|Alhambra Unified|1|0|0|36|2019-10-29|Met|Seventeen of our K-12 schools scored an overall rating of Good and one scored Exemplary based on the inspections performed in December 2018 and January 2019 for the SARC’s Facility Good Repair Status Section. The overall rating is based on the average score of eight categories inspected at each site and expressed as a percentage. The categories are: mechanical systems, interiors, cleanliness, electrical, restrooms/fountains, safety, structural, and exteriors. Multiple deficiencies may be identified in each category which affects the score for that section; categories with scores of 90% or higher are considered to be in ‘good repair”. Of the 136 (8x17) categories rated, 100 met the “good” or “exemplary” repair standard, 34 were “fair”, and 2 were “poor”. No extreme deficiencies were found during the inspections. The majority of fair and poor deficiencies noted were for conditions in the interiors, cleanliness and electrical categories. Facilities Services identified many of these deficiencies as wear and tear items to be corrected during summer cleaning and or as routine maintenance. A total of 1321 work orders were issued to correct the identified deficiencies. As of 10/21/2019, 1262 have been completed, 53 requiring painting, flooring or paving repairs were added to the facilities deferred maintenance list, and 6 work orders are still open or in progress to correct the remaining deficiencies.|2019
44697996049829|Alianza Charter|1|0|0|0|2019-11-15|Met|Alianza, in coordination with Pajaro Unified School District,  has been working to use our local Measure L funds to improve and maintain our facilities in good repair.  We've replaced 12 portables with new up to code portables, updated our bathrooms ,and worked on our fire and announcement/public address systems.  In addition, Alianza has purchased new mathematics and language arts standard based curriculum program.|2019
27659610000000|Alisal Union|1|0|0|0|2019-08-14|Met|The annual Williams review was conducted in September, 2018, and yielded the following results as documented in the District's Local Control Accountability Plan (LCAP) and School Accountability Report Card (SARC): MET sufficiency in instructional materials in all five required content areas (Math, Language Arts, ELD, Social Studies and Science), and MET requirements through Williams review for clean, safe and functional facilities. -SARC 2018-19: MET criteria with 100% teachers properly assigned, and zero (0) mis-assignments.|2019
37754166119275|All Tribes Charter|1|||0||Not Met For Two or More Years||2019
37754160122796|All Tribes Elementary Charter|1|||0||Not Met For Two or More Years||2019
36676780137547|Allegiance STEAM Academy - Thrive|1|1 misassignments of teachers of English Learners; 0 total teacher misassignments; 0 vacant teacher positions|0 students without access to instructional mat|0|2019-11-04|Met|Allegiance is a direct-funded charter school. All core teachers are credentialed. All students have access to instructional materials available at school and at home. All students have access to a safe, clean, and functional school facility provided and maintained by our authorizing district, Chino Valley Unified School District.|2019
54717950000000|Allensworth Elementary|1|0/0|0/0|0|2019-10-31|Met|N/A|2019
19647330127217|Alliance Alice M. Baxter College-Ready High|1|1|0|0|2020-01-23|Met||2019
19647330121285|Alliance Cindy and Bill Simon Technology Academy High|1|0|0|0|2020-01-23|Met||2019
19647330128058|Alliance College-Ready Middle Academy 12|1|0|0|0|2020-01-23|Met||2019
19647330120030|Alliance College-Ready Middle Academy 4|1|1|0|0|2020-01-23|Met||2019
19647330120048|Alliance College-Ready Middle Academy 5|1|1|0|0|2020-01-23|Met||2019
19647330128033|Alliance College-Ready Middle Academy 8|1|0|0|0|2020-01-23|Met||2019
19647330108936|Alliance Collins Family College-Ready High|1|1|0|0|2020-01-23|Met||2019
19647330111500|Alliance Dr. Olga Mohan High|1|0|0|0|2020-01-23|Met||2019
19647330106864|Alliance Gertz-Ressler Richard Merkin 6-12 Complex|1|0|0|0|2020-01-23|Met||2019
19647330111518|Alliance Jack H. Skirball Middle|1|0|0|0|2020-01-23|Met||2019
19647330108894|Alliance Judy Ivie Burton Technology Academy High|1|0|0|0|2020-01-23|Met||2019
19647330128041|Alliance Kory Hunter Middle|1|0|0|0|2020-01-23|Met||2019
19647330117606|Alliance Leichtman-Levine Family Foundation Environmental Science High|1|0|0|0|2020-01-23|Met||2019
19647330111658|Alliance Marc & Eva Stern Math and Science|1|0|0|0|2020-01-23|Met||2019
19647330124941|Alliance Margaret M. Bloomfield Technology Academy High|1|1|0|0|2020-01-23|Met||2019
19647330132084|Alliance Marine - Innovation and Technology 6-12 Complex|1|0|0|0|2020-01-23|Met||2019
19647330116509|Alliance Morgan McKinzie High|1|6|0|0|2020-01-23|Met||2019
19647330111641|Alliance Ouchi-O'Donovan 6-12 Complex|1|2|0|0|2020-01-23|Met||2019
19647330111492|Alliance Patti And Peter Neuwirth Leadership Academy|1|0|0|0|2020-01-23|Met||2019
19647330117598|Alliance Piera Barbaglia Shaheen Health Services Academy|1|1|0|0|2020-01-23|Met||2019
19647330124891|Alliance Renee and Meyer Luskin Academy High|1|1|0|0|2020-01-23|Met||2019
19647330123133|Alliance Susan and Eric Smidt Technology High|1|3|0|0|2020-01-23|Met||2019
19647330123141|Alliance Ted K. Tajima High|1|1|0|0|2020-01-23|Met||2019
19647330121293|Alliance Tennenbaum Family Technology High|1|0|0|0|2020-01-23|Met||2019
19647330128009|Alliance Virgil Roberts Leadership Academy|1|0|0|0|2020-01-23|Met||2019
19101990135368|Alma Fuerte Public|1|0|0|0|2019-10-28|Met||2019
40688250125807|Almond Acres Charter Academy|1|0|0|0|2019-10-24|Met||2019
54718030000000|Alpaugh Unified|1|0|0|0|2019-10-10|Met|Alpaugh Unified is a rural school district where approximately 360 Pre-school through twelfth grade students are served. Thirteen of seventeen teachers are fully credentialed with four teachers are enrolled in a university internship or Tulare County IMPACT program. Every student at Alpaugh Unified has textbooks and instructional materials for the full course of study that is Common Core aligned, Board approved and SBE adopted. Students also have access to the technology though one-to-one chrome book access.  During a recent Williams Compliance Review, AUSD schools were, found to be in “excellent condition”, providing a safe, clean, attractive and student-centered environment that is conducive to learning for a welcoming classroom experience for students, teachers, and parents.|2019
34673220127860|Alpha Charter|1|0|0|0|2019-10-08|Met||2019
43694270132274|Alpha Cindy Avitia High|1|0|0|0|2019-10-25|Met||2019
43693690125526|Alpha: Blanca Alvarado|1|0|0|0|2019-10-25|Met||2019
43694500121483|Alpha: Cornerstone Academy Preparatory|1|0|0|0|2019-10-25|Met||2019
43104390129213|Alpha: Jose Hernandez|1|0|0|0|2019-10-25|Met||2019
02100250000000|Alpine County Office of Education|1|0|0|0|2019-10-08|Met|We have purchased state adopted curriculum and provide professional development for staff on this curriculum.|2019
02613330000000|Alpine County Unified|1|0|0|0|2019-10-08|Met|We have purchased state adopted curriculum and provide professional development for staff on this curriculum.|2019
37679670000000|Alpine Union Elementary|1|0|0|0|2019-10-09|Met||2019
36675950000000|Alta Loma Elementary|1|Misassignments: EL 1.32% Teacher 0% Vacant 0%|0%|0|2019-10-23|Met||2019
31667870126664|Alta Vista Community Charter|1|0|0|0|2019-10-17|Met||2019
54718110000000|Alta Vista Elementary|1|0/0%|0/0%|0|2019-10-09|Met|Alta Vista meets all state requirements for teachers, standards-aligned instructional materials and safe, clean and functional facilities. All teachers at Alta Vista are qualified per state guidelines, appropriately assigned and continue to upgrade their knowledge and skills through professional development. In 2018-19, two new teachers had not yet fulfilled all credential requirements and were enrolled in training to complete them. All teachers are qualified to teache English Learners in a program of English Language Development and provide access to the curriculum through appropriate adaptations and accommodations for English Learners. As with many districts across the state, when vacancies occur Alta Vista works very hard to recruit and retain the very best teachers through multiple means available to our district. The Impact programs of the Tulare County Office of Education are very important programs for training new teachers and providing ongoing mentorship and training for teachers seeking their preliminary and clear (professional) credentials. Every student has full access at school and at home to standards-aligned instructional materials. These materials are also aligned to individual student needs for adaptation and accommodation in the classroom and include multiple formats to accommodate multiple learning modalities. Our facilities are rated as good and are maintained by a dedicated staff who continue to seek out additional funding for modernization and renovation|2019
36750510136432|Alta Vista Innovation High|1|0, 0, and 2 teacher vacancies|0|0|2019-10-16|Met||2019
31667790000000|Alta-Dutch Flat Union Elementary|1|||0||Not Met||2019
01611190130625|Alternatives in Action|1|||0||Not Met||2019
43693690000000|Alum Rock Union Elementary|1|3.5|0|14|2019-10-15|Met|Teacher vacancies: Vacancies are posted and Human Resources staff works actively to fill all classroom vacancies including involvement in various recruitment fairs throughout the school year.    Instructional materials:  At the annual local public hearing held on September 12, 2019, staff confirmed that all students have access to sufficient textbooks and instructional materials.     Williams Compliance:  The quarterly report (July 1 through September 30, 2019) on Williams Uniform Complaints was presented to our local Governing Board on October 15, 2019 confirming that zero complaints were filed with any school in the district during the quarter indicated.    Facilities:  Fourteen (14) instances of deficient repair were identified in the 2018/19 SARC reports.  For each instance, work orders are placed with the district maintenance department and are resolved based on urgency. These work orders were given priority and issues were resolved.|2019
20651770000000|Alview-Dairyland Union Elementary|1|0|0|0|2019-10-08|Met|The district has had no Williams complaints during the 2019-20 school year.|2019
10619940000000|Alvina Elementary|1|0|0|0|2019-10-24|Met||2019
10619946005730|Alvina Elementary Charter|1|0|0|0|2019-10-24|Met||2019
33669770000000|Alvord Unified|1|0 misassignments of teacher of English learners; 0 total teacher misassignments; 3 vacant teacher positions|0|0|2019-10-17|Met|When the information was taken to the local board, the number of teacher vacancies was reported as 2. However, due to a calculation error, the correct number of vacancies is being reported accurately here as 3.|2019
03100330000000|Amador County Office of Education|1|2, 5, 0|0|0|2019-11-06|Met|The statewide teacher shortage has had an impact on Amador County Office of Education. Our rural status and somewhat isolated geographical location present challenges to recruiting and retaining staff. Much attention is being given to this issue and ongoing recruitment efforts are in place. While our facilities are aging (many of them built in the early to mid 1900’s), our maintenance department does a great job of ensuring they are safe, clean and in good repair. Several construction projects are underway.  A general obligation bond measure was on the November 2018 ballot for renovation of our facilities, but was not successful.|2019
03739810000000|Amador County Unified|1|10, 17, 3|0|0|2019-11-06|Met|The statewide teacher shortage has had an impact on Amador County Unified School District. Our rural status and somewhat isolated geographical location present challenges to recruiting and retaining staff. Much attention is being given to this issue and ongoing recruitment efforts are in place. While our facilities are aging (many of them built in the early to mid 1900’s), our maintenance department does a great job of ensuring they are safe, clean and in good repair. Several construction projects are underway.  A general obligation bond measure was on the November 2018 ballot for renovation of our facilities, but was not successful.|2019
10623800136499|Ambassador Phillip V. Sanchez II Public Charter|1|0, 0, and 1 teacher vacancy.|0|0|2019-10-24|Met||2019
01612596113807|American Indian Public Charter|1|0|0|0|2019-10-15|Met|We ensure all of our students have access to standards-aligned instructional materials for use at home and school. Teacher credentialing continues to be a priority. Several teachers who are in need of clearing their preliminary credential participated in the induction program. We strive to provide a safe, respectful, and positive school environment which communicates caring and minimizes fears that might interfere with learning. Providing students a healthy and inviting learning environment where they are protected from physical and emotional harm is essential to the mission of our school.|2019
01612590114363|American Indian Public Charter II|1|0|0|0|2019-10-15|Met|We ensure all of our students have access to standards-aligned instructional materials for use at home and school. Teacher credentialing continues to be a priority. Several teachers who are in need of clearing their preliminary credential participated in the induction program. We strive to provide safe, respectful, and positive school environment communicates caring and minimizes fears that might interfere with learning. Providing students a healthy and inviting learning environment where they are protected from physical and emotional harm is essential to the mission of all three of our schools. Safe schools are not just places with advanced security procedures. They are also places that help students develop that allow them to succeed even in difficult circumstances. Safe schools encourage healthy behaviors that help students learn about fitness, nutrition, and healthy choices. To better address student nutritional needs we began the process of establishing a lunch program to serve all students in our high school.|2019
01612590111856|American Indian Public High|1|0|0|0|2019-10-15|Met|AIPHS has an up-to-date AP-aligned textbooks/curriculum and novels for all of our students.   Implementation targets were set for a redesign of the science lab.   All teachers are credentialed and teach in their corresponding subject in every classroom.  Teachers remain in one classroom for their subject matter teaching, in self-contained classrooms, which are cleaned on a nightly basis by custodial staff. Providing students a healthy and inviting learning environment where they are protected from physical and emotional harm is essential to the mission of all three of our schools. Safe schools are not just places with advanced security procedures. They are also places that help students develop that allow them to succeed even in difficult circumstances. Safe schools encourage healthy behaviors that help students learn about fitness, nutrition, and healthy choices. To better address student nutritional needs we began the process of establishing a lunch program to serve all students in our high school. Having begun this program for the K-8 site, physical plant preparations, health certifications, and staff training were begun at the high school.|2019
09737830121566|American River Charter|1|||0||Not Met||2019
37683380136663|America's Finest Charter|1|0|0|0|2019-11-12|Met||2019
30664230000000|Anaheim Elementary|1|0|0|0|2019-10-23|Met||2019
30664310000000|Anaheim Union High|1|No misassignments reported for 2018-19|Zero.  No students without access to materials.|0|2019-06-13|Met||2019
19768850132928|Anahuacalmecac International University Preparatory of North America|1|0|0|0|2019-10-12|Met|Anahuacalmecac provides safe, clean school campus facilities. This year thanks to state grants, we have upgraded our HVAC system entirely, and parents have refurbished a school garden.|2019
45698564530333|Anderson New Technology High|1|2% of classes are misassigned.|0|0|2019-10-16|Met|1 period of a leadership class (ASB), it is taught by a credentialed teacher, but not with a leadership credential. There are zero misassignments of teachers of English learners.|2019
45698560000000|Anderson Union High|1|3/2.6%|0/0%|0|2019-10-15|Met||2019
23655400000000|Anderson Valley Unified|1|0|0|2|2019-11-12|Met|The District has no misassigned teachers. One teacher vacancy is expected to be filled within the near future. Students at all grade levels have access to curriculum-aligned instructional materials. Two portable classrooms known to contain asbestos have been removed.|2019
19101990136119|Animo City of Champions Charter High|1|0,0,3|0|0|2019-11-01|Met||2019
19647330124883|Animo College Preparatory Academy|1|0,0,2|0|0|2019-11-01|Met||2019
19734370137984|Animo Compton Charter|1|0, 0, 0|0|0|2019-11-01|Met||2019
19647330123992|Animo Ellen Ochoa Charter Middle|1|0,0,0|0|0|2019-11-01|Met||2019
19647330134023|Animo Florence-Firestone Charter Middle|1|0,0,1|0|0|2019-11-01|Met||2019
19646341996586|Animo Inglewood Charter High|1|0|0|0|2019-11-01|Met||2019
19647330111583|Animo Jackie Robinson High|1|0,0,0|0|0|2019-11-01|Met||2019
19647330124008|Animo James B. Taylor Charter Middle|1|0,0,0|0|0|2019-11-01|Met||2019
19647330122481|Animo Jefferson Charter Middle|1|0,0,1|0|0|2019-11-01|Met||2019
19647091996313|Animo Leadership High|1|0,0,1|0|0|2019-11-01|Met||2019
19647330124016|Animo Legacy Charter Middle|1|0,0,1|0|0|2019-11-01|Met||2019
19647330129270|Animo Mae Jemison Charter Middle|1|0,0,1|0|0|2019-11-01|Met||2019
19647330106849|Animo Pat Brown|1|0,0,0|0|0|2019-11-01|Met||2019
19647330124024|Animo Phillis Wheatley Charter Middle|1|||0||Not Met||2019
19647330111575|Animo Ralph Bunche Charter High|1|0,0,0|0|0|2019-11-01|Met||2019
19647330102434|Animo South Los Angeles Charter|1|0,0,1|0|0|2019-11-01|Met||2019
19647330106831|Animo Venice Charter High|1|0,0,0|0|0|2019-11-01|Met||2019
19647330111625|Animo Watts College Preparatory Academy|1|0,0,0|0|0|2019-11-01|Met||2019
19647330122499|Animo Westside Charter Middle|1|0,0,0|0|0|2019-11-01|Met||2019
52714720000000|Antelope Elementary|1|0|0|0|2019-10-17|Met||2019
19648570112714|Antelope Valley Learning Academy|1|0, 0, and 6 teacher vacancies|0|0|2019-10-14|Met||2019
19642460000000|Antelope Valley Union High|1|Eight (8) misassignments of teachers of English Learners; Ten (10) total teacher misassignments; Thirty (30) teacher vacancies|0|0|2019-11-14|Met||2019
07616486115703|Antioch Charter Academy|1|0/0%|N/A|0|2019-11-07|Met|Charter schools are not required to follow the Williams act regarding students having their own copies of materials for use at school and at home. Our curriculum is a mix of teacher-designed materials, Montessori materials, and a few textbooks aligned to the Common Core Standards. Because of our school philosophies, not all students have textbooks.|2019
07616480115063|Antioch Charter Academy II|1|0/0%|N/A|0|2019-11-07|Met|Charter schools are not required to follow the Williams act regarding students having their own copies of materials for use at school and at home. Our curriculum is a mix of teacher-designed materials, Montessori materials, and a few textbooks aligned to the Common Core Standards. Because of our school philosophies, not all students have textbooks.|2019
07616480000000|Antioch Unified|1|0/0%|0/0%|0|2019-10-23|Met||2019
19647330117077|APEX Academy|1|||0||Not Met For Two or More Years||2019
36750770000000|Apple Valley Unified|1|0 misassignments or vacancies as of the end of the year 2018/2019|0- All students had access to materials|0|2019-10-03|Met|In reference to the facilities "good repair" standard, we use a comprehensive third party to evaluate each school site annually.  The most recent report for 2018/2019 shows 9 of 13 sites as "fair", and 4 as "good" . This is determined using a demanding grading scale of hundreds of factors.  However, there were no extreme deficiencies marked at any site.|2019
43693696046247|Aptitud Community Academy at Goss|1|0|0|0|2019-10-29|Met|95% of teachers at Aptitud Community Academy at Goss have the proper and valid credentials to work with English learners and one (5%) teacher is working on getting her credential as she has taken a 4th grade position as an Intern. 100% of teacher positions have been filled since 2018-2019. Vacancies are posted and Human Resources staff works actively to fill all classroom vacancies including involvement is various recruitment fairs throughout the school year. Instructional materials: All students at Aptitud have access to sufficient textbooks and instructional materials. Williams Compliance: Aptitud Community Academy at Goss has had zero uniform complaints during the past three years. Facilities: 3 instances of poor repair were identified in the 2017/2018 SARC report. For each instance, work orders are placed with the district maintenance department and are resolved based on urgency. These work orders were given priority and issues were resolved.|2019
19647330121079|Ararat Charter|1|0|0|0|2019-10-17|Met||2019
19642610000000|Arcadia Unified|1|0|0|0|2019-10-07|Met||2019
12626790000000|Arcata Elementary|1|0|0|0|2019-10-14|Met|The ASD LCAP includes several expected annual measurable outcomes related to the Priority 1. The condition of District facilities are tracked using the Facility Inspection Tool (FIT) and District facilities are reported in good condition. 100% of District teachers are reported as highly qualified for their assignment and the Williams Report indicates adequate instructional materials for all students, including English learners.|2019
56725460120634|Architecture, Construction & Engineering Charter High (ACE)|1|0|0|0|2019-10-10|Met|ACE Charter takes pride in student maintained projects all over the campus, annually. We use the campus as our canvas for curriculum in architecture, construction, engineering, and computer science.|2019
34672800000000|Arcohe Union Elementary|1|0|0|0|2019-09-26|Met||2019
23655570000000|Arena Union Elementary|1|||0||Not Met||2019
29663730136424|Arete Charter Academy|1|0|0|0|2019-09-10|Met|Arete has met requirements in all areas of Priority 1.|2019
01612590115238|ARISE High|1|0%|100%|0|2019-10-22|Met||2019
16638750000000|Armona Union Elementary|1|0/0%|0/0%|0|2019-10-10|Met||2019
35752590000000|Aromas - San Juan Unified|1|||0||Not Met||2019
37680236116859|Arroyo Vista Charter|1|0|0|0|2019-10-24|Met||2019
19647330123158|Arts In Action Community Charter|1|0|0|0|2019-06-22|Met|In regards to Facilities in "Good Repair": the majority of parents, students and staff strongly agreed, agreed or were neutral that the campus is cleaned and in good repair. We invested into fixing air conditioners, water fountains and painting the exterior and interior of the school.  We used an operations request form to track requests for repairs and maintenance issues. We conducted monthly facilities walkthroughs and weekly operations check-ins and we were able to meet our LCAP goal of: Safe Facility and Productive Environment: All students will have access to a safe, productive environment, starting with a facility that is in good repair.   Through improving teacher retention and refining our hiring practices were were able to ensure that 100% of our teachers were appropriately credentialed.|2019
19647330134205|Arts in Action Community Middle|1|0|0|0|2019-09-10|Met|100% of our teachers had the appropriate credential and EL authorization.  No positions were vacant. 100% of our students had access to common core aligned standard based instructional materials for school and home use. In regards to Facilities in "Good Repair": the majority of our parents, students and staff strongly agreed, agreed or were neutral that the campus is clean and in good repair. We invested into fixing air conditioners, water fountains and painting the exterior and interior of the school.  We use an operations request form to track requests for repairs and maintenance issues. We conduct monthly facilities walkthroughs and weekly operations check-ins and we were able to meet our LCAP goal of: Safe Facility and Productive Environment: All students will have access to a safe, productive environment, starting with a facility that is in good repair.|2019
41690216044721|Arundel Elementary|1|0|0|0|2019-10-24|Met|SCSD reports on Williams Complaints each quarter. Zero complaints were reported at the October 10, 2019 board meeting.|2019
15633130000000|Arvin Union|1|0|0|0|2019-10-15|Met|The district has ensured that all instructional positions reported for the 2018-2019 school year were filled and there were no mis-assignments as verified by the County Credentialing Analyst documented in a letter written on July 2, 2019 and an LEA 4th quarter Williams report received on 10/8/2019.  The district continues efforts to recruit fully credentialed teachers and ensure no mis-assignments. Currently employed provisionally credentialed teachers are supported to become fully credentialed with the goal of retaining trained staff for the ensuing school year and beyond. The district will continue to focus on ensuring safe and sound facilities and sufficient materials for all students.  For both the 2018-2019 and the 2019-2020 school years, all four school sites in the district received an “Exemplary” rating.  Although there was an electrical deficiency at Sierra Vista during the August 2018 review which was remediated immediately, there were no deficiencies at any school during Williams Act reviews conducted by Kern County Superintendent of Schools officials during the month of August 2019.  Both the August 2018 and August 2019 reviews noted sufficient instructional materials for students verifying the communication among the district’s curriculum department, library personnel, and site staff to ensure there are always enough instructional materials for all students.  This information is presented through quarterly Williams reports to the local Board of Education.|2019
36678760107730|ASA Charter|1|4|0|0|2019-07-10|Met||2019
01612596118608|ASCEND|1|0|0|0|2019-10-31|Met||2019
10621660133942|Aspen Meadow Public|1|0|0|0|2019-10-30|Met|The LEA annually measures its progress in meeting the Williams settlement requirements at 100% at all of its school sites, as applicable, and promptly addresses any complaints or other deficiencies identified throughout the academic year, as applicable; the LEA then reports the results to its local governing board at a regularly scheduled meeting and to reports to stakeholders and the public through the Dashboard.|2019
10621660106740|Aspen Valley Prep Academy|1|0|0|0|2019-10-30|Met|The LEA annually measures its progress in meeting the Williams settlement requirements at 100% at all of its school sites, as applicable, and promptly addresses any complaints or other deficiencies identified throughout the academic year, as applicable; the LEA then reports the results to its local governing board at a regularly scheduled meeting and to reports to stakeholders and the public through the Dashboard.|2019
34674470120469|Aspire Alexander Twilight College Preparatory Academy|1|0|0|0|2019-10-03|Met||2019
34674470121467|Aspire Alexander Twilight Secondary Academy|1|2|2|0|2019-10-03|Met||2019
19101990109660|Aspire Antonio Maria Lugo Academy|1|0|0|0|2019-10-03|Met||2019
39686760121541|Aspire APEX Academy|1|0|0|0|2019-10-03|Met||2019
39685850101956|Aspire Benjamin Holt College Preparatory Academy|1|0|0|0|2019-10-03|Met||2019
39685850133678|Aspire Benjamin Holt Middle|1|0|1|0|2019-10-03|Met||2019
01612590109819|Aspire Berkley Maynard Academy|1|0|2|0|2019-10-03|Met||2019
34674390102343|Aspire Capitol Heights Academy|1|0|0|0|2019-10-03|Met||2019
19647330126797|Aspire Centennial College Preparatory Academy|1|0|1|0|2019-10-03|Met||2019
01612590128413|Aspire College Academy|1|0|0|0|2019-10-03|Met||2019
41689990134197|Aspire East Palo Alto Charter|1|0|1|0|2019-10-03|Met||2019
01612590120188|Aspire ERES Academy|1|0|0|0|2019-10-03|Met||2019
