cdsCode|lea|priorityNumber|nativeSummary|profLearningELA|profLearningELD|profLearningMath|profLearningScience|profLearningSocial|materialELA|materialELD|materialMath|materialScience|materialSocial|programELA|programELD|programMath|programScience|programSocial|standardTechEd|standardHealthEd|standardPhysicalEd|standardPerformingArts|standardWorldLang|ActivityGroupNeeds|ActivityIndividualNeeds|ActivitySupport|meetingDate|additionalInfo|performance|year
43694270125617|ACE Charter High|2|GOAL: ACE Empower is committed to ensuring its curriculum is aligned to the academic standards adopted by the State Board of Education. The following Goals from its LCAP support Priority 2: 1) Teachers deliver rigorous, standards-based instruction based on thoughtful planning and use of data, and 2) Students prepare for college by attaining proficiency in challenging, standards-based course work.  ASSESSMENT: ACE Charter High assesses its progress in this goal area through 1) annual audits of curriculum for standards alignment, with adoption of new curriculum as needed to ensure continued alignment and rigor, and 2) ongoing assessment of teacher practice and standards implementation to inform professional development, and 3) Growth Cycle Audits. In addition, student level data is collected and analyzed including ELA and Math proficiency on the SBAC, ELA and Math growth on the NWEA MAP, UC/CSU Eligibility Rates, and ACT Scores.  ACTIONS: ACE Charter High engages in the following actions to support this goal: 1) Provide ongoing professional development for teachers in planning and designing curriculum backwards from standards, via summer institute, data days, weekly professional development, and grade/subject area meetings, 2) Support all teachers in implementation of standards-aligned and data-informed curriculum, via an Academic Coach for every teacher, and 3) Implement a robust assessment practice that provides ongoing data on student mastery of state standards and preparation for college.  2018-19 PROGRESS: ACE Charter High achieved progress in this goal area as follows: 1) Professional Development - All students took the ACT four times over the year, with results shared out with both students and teachers. Professional days helda focus on training teachers in how to analyze data, then use it to pivot instruction to focus on the isolated standards where students were not showing mastery and developing detailed plans for teaching and reteaching those standards. 2) Academic Coach - Every teacher has an instructional coach, with five coaches working together to provide weekly observation and feedback for teachers using the Relay model. This team includes the Principal, two Assistant Principals, and two Instructional Coaches (Math/Science and Social Studies). 3) Assessment Practice - Implemented internal, cumulative benchmarks every 6 weeks (two in first semester, three in second semester) to monitor both ongoing mastery of standards and retention. In addition, “I Can” assessments were given every two to three weeks to provide ongoing formative assessment data. 4) Monitoring Student Achievement - Continued the practice of data analysis to inform instruction using the I Cans and Interim Benchmarks as data, with reteaching focused on isolated standards that students are struggling to master.|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|3|4|4|4|4|4|4|4|2019-10-16||Met|2019
43104390116814|ACE Empower Academy|2|GOAL: ACE Empower is committed to ensuring its curriculum is aligned to the academic standards adopted by the State Board of Education. The following Goals from its LCAP support Priority 2: 1) Teachers deliver rigorous, standards-based instruction based on thoughtful planning and use of data, and 2) Students prepare for college by attaining proficiency in challenging, standards-based course work.  ASSESSMENT: ACE Empower assesses its progress in this goal area through 1) annual audits of curriculum for standards alignment, with adoption of new curriculum as needed to ensure continued alignment and rigor, and 2) ongoing assessment of teacher practice and standards implementation to inform professional development, and 3) Growth Cycle Audits. In addition, student level data is collected and analyzed including ELA and Math proficiency on the SBAC and ELA and Math growth on the NWEA MAP.  ACTIONS: ACE Empower engages in the following actions to support this goal: 1) Provide ongoing professional development for teachers in planning and designing curriculum backwards from standards, via summer institute, data days, weekly professional development, and grade/subject area meetings, 2) Support all teachers in implementation of standards-aligned and data-informed curriculum, via an Academic Coach for every teacher, and 3) Implement a robust assessment practice that provides ongoing data on student mastery of state standards and preparation for college.  2018-19 PROGRESS: ACE Empower achieved progress in this goal area as follows: 1) Professional Development - A designated schedule of standards to be assessed each instructional cycle was developed, to support planning and inform instruction. SBAC interim assessments were used in alignment with the schedule of standards. Teachers met weekly in department and grade level meetings to discuss curriculum and instruction, as well as strategies to support students who are struggling. Teachers have deepened their understanding of the Common Core State Standards (CCSS) in Math, which supports both rigor and efficacy of instruction. 2) Academic Coach - Every teacher was observed and received actionable feedback on a weekly basis from an academic coach. An ELA Lead was added to complement the existing coaching expertise in math, with the ELA Lead attending RELAY to learn how to implement systems for a strong data driven culture and help teachers grow to their full potential through observation and feedback. 3. Assessment Practice - A student-facing standards tracker was developed and posted in each classroom, to support monitoring of student mastery and ownership by students. 4. Monitoring Student Achievement - Weekly data meetings were held to analyze student mastery of standards and determine reteaching needs. The “lead” and “lag” model of instruction continued to be implemented, with lag classes enabling teachers to focus instruction that targets student needs in ELA and Math.|4|4|4|4|4|5|5|5|5|5|4|4|4|4|4|1|2|3|1|2|4|4|4|2019-10-16||Met|2019
43694500129247|ACE Esperanza Middle|2|GOAL: ACE Empower is committed to ensuring its curriculum is aligned to the academic standards adopted by the State Board of Education. The following Goals from its LCAP support Priority 2: 1) Teachers deliver rigorous, standards-based instruction based on thoughtful planning and use of data, and 2) Students prepare for college by attaining proficiency in challenging, standards-based course work.  ASSESSMENT: ACE Esperanza assesses its progress in this goal area through 1) annual audits of curriculum for standards alignment, with adoption of new curriculum as needed to ensure continued alignment and rigor, and 2) ongoing assessment of teacher practice and standards implementation to inform professional development, and 3) Growth Cycle Audits. In addition, student level data is collected and analyzed including ELA and Math proficiency on the SBAC and ELA and Math growth on the NWEA MAP.  ACTIONS: ACE Esperanza engages in the following actions to support this goal: 1) Provide ongoing professional development for teachers in planning and designing curriculum backwards from standards, via summer institute, data days, weekly professional development, and grade/subject area meetings, 2) Support all teachers in implementation of standards-aligned and data-informed curriculum, via an Academic Coach for every teacher, and 3) Implement a robust assessment practice that provides ongoing data on student mastery of state standards and preparation for college.  2018-19 PROGRESS: ACE Esperanza achieved progress in this goal area as follows: 1) Professional Development - The Principal and ELA Lead completed Relay Training, with a focus on developing CCSS aligned strategies in ELA that promote rigor (i.e. Close Reading, Guided Reading). Weekly data meetings were established, supporting teachers in deeply understanding the standard and what it looks like for students to demonstrate mastery. All classes are using a common curriculum, while adding in more rigorous writing. Teachers are practicing “Aggressive Monitoring,” in order to get feedback to students more frequently (for every student during every independent practice session). 2) Academic Coach - Teachers were provided with three types of coaching 1) weekly data, 2) observation and feedback using the Relay model (including practicing lesson delivery with teachers prior to teaching), and 3) real time feedback. Together, these practices have developed clarity on the goal for teaching and provided increased opportunities for practice in getting there. 3) Assessment Practice - Developed cumulative science benchmarks aligned with the Next Generation Science Standards, allowing the school to have a better comparison of students’ progress toward mastery. 4) Monitoring Student Achievement - Teachers met in grade level teams on a weekly basis to analyze data, informing instruction.|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|1|3|3|2|3|4|4|4|2019-10-16||Met|2019
43696660131656|ACE Inspire Academy|2|GOAL: ACE Empower is committed to ensuring its curriculum is aligned to the academic standards adopted by the State Board of Education. The following Goals from its LCAP support Priority 2: 1) Teachers deliver rigorous, standards-based instruction based on thoughtful planning and use of data, and 2) Students prepare for college by attaining proficiency in challenging, standards-based course work.  ASSESSMENT: ACE Inspire assesses its progress in this goal area through 1) annual audits of curriculum for standards alignment, with adoption of new curriculum as needed to ensure continued alignment and rigor, and 2) ongoing assessment of teacher practice and standards implementation to inform professional development, and 3) Growth Cycle Audits. In addition, student level data is collected and analyzed including ELA and Math proficiency on the SBAC and ELA and Math growth on the NWEA MAP.  ACTIONS: ACE Inspire engages in the following actions to support this goal: 1) Provide ongoing professional development for teachers in planning and designing curriculum backwards from standards, via summer institute, data days, weekly professional development, and grade/subject area meetings, 2) Support all teachers in implementation of standards-aligned and data-informed curriculum, via an Academic Coach for every teacher, and 3) Implement a robust assessment practice that provides ongoing data on student mastery of state standards and preparation for college.  2018-19 PROGRESS: ACE Inspire achieved progress in this goal area as follows: 1) Professional Development - Adopted and implemented Mosa Mack Science curriculum, an inquiry-based curriculum aligned with the NGSS with strong content organization for both students and teachers. Continued implementation of EngageNy curriculum in ELA and Math to support alignment with the CCSS. 2) Academic Coach - Established three Instructional Coaches (Math, ELA, and SPED), trained in the Relay Model, to provide weekly observations and debriefs with actionable feedback for all teachers to support standards-based instruction and use of student engagement strategies. Trends in observational data were addressed during weekly Professional development time. 3) Assessment Practice - Implemented the SBAC IABs (interim assessments) three times, to evaluate student progress toward mastery of the CCSS and to inform instruction. Developed weekly and cycle overviews, with both the process and content aligned with the CCSS and SBAC. Weekly data meetings were held in by departments, to examine student outcomes through student work to determine student proficiency levels in the standards taught in that week. 4) Monitoring Student Achievement - Continued use of benchmarks and student work to monitor student progress, coupled with student goal setting and reflection through Advisory and Student Led Conferences.|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2019-10-16||Met|2019
01612590111476|Achieve Academy|2||4|3|4|2|3|4|3|4|2|3|4|3|4|3|3|3|3|3|3|3|4|4|4|2019-10-31||Met|2019
04100410136820|Achieve Charter High|2||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||Not Met|2019
04615310110338|Achieve Charter School of Paradise Inc.|2|Achieve Charter School adopted the Butte County Office of Education Standards Implementation Rubric.  Standard implementation was put on hold starting after the fire in November. Staff did not self evaluate their performance on implementing state academic standards. While school staff worked hard to return to state standards-based instruction, they had to focus primarily on the social emotional well being of students, staff and families through the 2nd trimester of school.  Teachers did return to the level of standards-based instruction before the fire, but were not able to focus on new instructional practices initiatives. However, most of our teachers were able to catch students up to grade level by the end of the year. This accomplishment after a loss of at least 2 months of focused standards-based instruction is remarkable. Staff has plans to return to the instructional practice initiatives planned for the 18-19 school year in the coming year 2019-2020.|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2019-10-16||Met|2019
31667610000000|Ackerman Charter|2||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||Not Met For Two or More Years|2019
19753090000000|Acton-Agua Dulce Unified|2||4|3|4|2|4|4|4|5|2|4|5|3|4|3|4|5|2|2|2|2|2|3|3|2019-10-30||Met|2019
42767866118202|Adelante Charter|2||4|4|4|5|4|4|4|4|5|4|4|4|4|5|4|1|2|5|5|5|4|4|4|2019-05-06|Adelante Charter School continues to work to provide a world class education for all children in two languages using CCSS and NGSS-aligned materials. Students learn in Spanish and are tested in English. Teachers are supported with job-embedded professional learning. Early release Thursdays and common planning time support the continuous professional growth of teachers. Additionally, grade-level teams work together with an instructional coach to refine instructional practices and plan standards-aligned integrated curriculum focused on science, language and literacy through unit planning, lesson planning, co-teaching, analysis of student work and reflection. As a STEAM-focused school Adelante has prioritized the teaching of science at every grade level. Teachers are working to create classroom cultures where student thinking is valued, visible and actively promoted across disciplines.This year Adelante has implemented a revised Tier II and Tier III Reading Intervention program with the goal of supporting our early readers (1st - 3rd grade) who are struggling to acquire strong literacy skills. Additional staff were hired and trained along with the K-3 teachers to lead small groups of children through an intensive daily reading intervention. A reading specialist continues to support 2nd. As a K-6 program we are not implementing CTE standards. Health standards are in the beginning development stage.|Met|2019
36675870000000|Adelanto Elementary|2|The LEA has purchased Illuminate test bank to support the district’s work with assessments and monitoring of student progress. Teachers from every grade meet annually to develop grade-level Common Formative Assessments (CFAs) in ELA and Math to be conducted each quarter and are conducted across the district within an established testing window for consistency and validity of test results. The questions in Illuminate are all aligned to the State standards and the results are evaluated to track progress in achieving proficiency in the standards. Prior to selecting the CFA questions each grade level has also worked collaboratively to develop standards alignment document and pacing guides for ELA and math. The CFA’s are aligned to these pacing guides for each quarter and allow teachers to track student progression towards achieving the standards. The CFAs are conducted to provide students practice with the testing format while at the same time assisting teachers to adjust their teaching to support student achievement of the standards and therefore plan their lessons and interventions accordingly. Principals meet with teachers three times a year, after the CFA’s have been completed, to review the data and support collaboration around adjustments needed both with lesson design and assessments. Through this process the district has ensured that all teachers in ELA and math are implementing the state standards. And GSS and social studies standards are also being implemented through constant professional development with the county to support teacher understanding of the standards. Piloting of standards aligned science texts have also supported with the implementation of the standards. Middle schools have continued to implement social studies framework shifts in their lessons and with support from DBQ supplemental materials. 1. Students in grades 3-8 also participate in the spring ICAs which are conducted similarly as the CAASPP tests. All teachers are trained on universal screening and designated supports prior to conducting the ICAs, and the data is used to view student progress and preparation for the main test.  2. The district has made great progress with training our teachers to understand and teach to the standards.  3. For ELA and math, the district has provided intensive support for teachers with professional development.  4. ELD standards are also ingrained into the ELA classrooms and is instructed every day as part of designated and integrated ELD.  5. NGSS has been extensively rolled; we are reviewing pilot materials for adoption.  6. History framework training has also been provided to all Middle School teachers and will be scaled out to elementary teachers next year. 7. Introductory and Exploratory CTE courses have been introduced at the middle school 8. World Language has also been introduced at all middle schools and is aligned to the World Language standards.|5|5|5|4|2|5|5|5|3|2|5|5|5|4|2|3|4|4|5|5|5|4|4|2019-10-29|All grades, including Special Education classrooms, have standards-based core curriculum. We are currently working to identify curriculum for Severe/Profound classes. We have also has created a structure of collaboration to support teachers with the implementation and assessment standard in their classroom. All ELA/Math grade level teachers have created the grade level priority standards and all teachers in that grade teach and assess these standards. Changes to this alignment is done annually. Continued professional development includes training from the publishers of the adopted materials and County training.|Met|2019
30666700135897|Advanced Learning Academy|2||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||Not Met|2019
51105120138040|AeroSTEM Academy|2|AeroSTEM Academy is progressively implementing California Common Core Standards in all academic classes as we continue to develop and grow our course offerings for progressively advanced students. AeroSTEM began with grades 6 through 9 in beginning development last year. Grade 10 was added this year, with corresponding classes to meet the graduation requirements outlined in the Charter Petition Document. Additionally, AeroSTEM is pursuing WASC Accreditation for all high school courses to meet UC a-g standards. CTE courses are being developed and implemented with clear goals and expectations toward college and career skills and readiness.  AeroSTEM Academy has recently added the EdOptions Academy courseware as additional selections for students to choose from to expand the course offerings available to all students and include a rigorous Independent Study option for those students who benefit from greater flexibility in their personalized learning structures. EdOptions Academy courses are taught online by fully credentialed teachers and are fully UC a-g accredited as well.|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2019-10-11|Learning strategies, curriculum, and activities are centered on the California Common Core Standards with an eye to incorporating project based, hands on activities when possible and infusing the curriculum and culture of the school with knowledge and enthusiasm toward the aerospace industries.   English Language Arts, STEM classes, and History classes have been fully developed and are actively adapted to meet the needs of students in the classroom while remaining vigorous and true to the state standards. As we continue to add grade levels more advanced math, language, health, and CTE pathways are being developed. Because of the temporary location of the school, science standards are being met through curriculum, videos, and simplified labs until a science lab is more fully developed at the permanent school site.   All teachers participate in on going professional development through self selected goals as well as school wide goals via staff collaborative time once a week and individual quarterly meetings with administration. Teachers new to the teaching field in California participate in the Tri-County Induction Program to work with a mentor teacher and move to a clear credential. Summer collaboration and planning meetings were scheduled with 100% participation of all staff members.|Met|2019
19647330118588|Alain Leroy Locke College Preparatory Academy|2|The school offers a standards aligned curriculum to ensure students are provided with rigorous grade level content in all core classes. Curriculum Directors and Curriculum Specialists developed the ELA, Math, Science and History “Course at a Glance” materials and curriculum maps that are aligned to CA Common Core State Standards and Next Generation Science Standards. All materials are available to all teachers via Green Dot's online platform. Additional curricular resources available online include model unit plans, lesson plans and summative assessments. ELA and Math intervention courses (Literacy Intervention, Math Foundation and Academic English Essentials) are offered at all grade levels to ensure students below grade level received targeted supports to meet their needs and work towards mastery on state assessments. English Learners also receive specialized support through ELD courses, based on their English proficiency levels, as well as through their designated supports in literacy intervention. Teachers receive 2 professional development sessions per week and coaching from content-specific curriculum specialists as needed. Professional development has been provided to all teachers on the Common Core literacy standards as well as their content specific standards. Green Dot utilizes the train-the-trainer model providing instructional leadership team members in each content area ongoing support in curriculum development and instructional strategies through department meetings and collaboration. Green Dot uses the Reading Inventory and iReady assessments to measure the literacy and math gains of each student. Students take both assessments three times per year for progress monitoring. For the 2018-2019 school year, 58% of students met their Growth Goal in Reading Inventory; 47% of students met their Growth Goal in iReady. In addition to these nationally normed assessments, Green Dot interim assessments are aligned to both Common Core content standards and Literacy standards to expose students to rigorous assessments and provide teachers with data to inform instruction and re-teaching as needed. In recent state assessment data for 2018-2019, 21% of students met or exceeded the standard in ELA. In order to continue to push growth the school will continue to focus on school-wide literacy strategies and the use of data to respond to student needs. In recent state assessment data for 2018-2019, 4% of students met or exceeded the standard in Math. In order to continue to push growth, the school will continue to implement a common-core aligned math curriculum and professional development focused on teaching math for conceptual understanding. Additionally, Green Dot schools receive student growth percentiles based on state assessment data from CORE. The school is in the 19 and 51 percentiles in ELA and math, respectively.|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2019-11-01||Met|2019
01611190130609|Alameda Community Learning Center|2||5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|2|4|4|4|4|5|5|5|2019-10-17||Met|2019
01100170000000|Alameda County Office of Education|2||4|4|3|1|2|4|4|3|1|2|4|4|3|1|2|3|2|5|4|4|5|4|5|2019-10-15||Met|2019
01611190000000|Alameda Unified|2|Local Indicators for Priority 2 To determine progress in implementing the academic standards, Alameda Unified School Districts (AUSD) tracks English Language Arts (ELA) and Math SBAC performance, Science CAST results, CTE pathway completion of graduating seniors, the percentage of English Learners accessing the Common Core State Standards in a setting with English-Only peers, and the Physical Fitness Test.  In 2018-19 AUSD’s overall percentage of students who met or exceeded ELA standards was 69%. This was above the county average (57%), and  up 1 percentage point from the previous year. The district’s overall performance has improved incrementally over the past three years (66% to 69%). In 2018-2019 there was significant improvement for proficiency at grade 5 (64% to 68%) and grade 11 (69% to 76%) compared to the previous year. At the K-5 level the district is in the 3rd year of implementing new CCSS-aligned curriculum. At the 6-12 level the district is engaging staff to further align curricula across sites.  In 2018-19, our overall proficiency for the district remained flat at 60% compared to the previous year and is up 2 percentage points over three years. The district is continuing implementation of recently adopted CCSS-aligned curriculum K-12 and are implementing planned changes to secondary math pathways to maximize appropriate placement/flexibility of students.   AUSD looks forward to reviewing its results form the 2019 California Science Test (at the time of Local Indicator submission they have not yet been released) to a baseline from which to track its progress in the coming years. The Next Generatoin Science standards are supported in AUSD via implementation of aligned curriculum (FOSS) in grades K-8. Science faculty in grades 9-12 are currently engaged in a discussion about course pathways, alignment, and curriculum adoption. In 2019-2020 the district will be piloting the new high school curriculum.  In 2018-19 the district exceeded the target goal of 12% by .2%. AUSD has implemented new pathways that will not be ready to offer a “Completer” (or second-level course) until SY 2020-21. This will impact our completion data for SY 2019-20. However, AUSD expects to achieve significantly higher completion rates in subsequent years.  In the 2018-19 school year, 98% of non-newcomer ELs accessed the Common Core State Standards in a setting with English-only peers. The remaining 2% is likely due to English Leaner students who are in Moderate and Severe Special Education courses. We will investigate our system of monitoring of these remaining students’ access to the Common Core Standards next year to continuously improve in this area.  Most students (63%) in AUSD pass the Physical Fitness Test in 5th, 7th, or 9th grade. We will be working to increase this percentage, and it should be noted that our rate is well above the County average.|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2019-10-17||Met|2019
01611270000000|Albany City Unified|2||4|3|4|3|2|4|2|4|3|2|4|4|4|3|2|4|4|4|4|4|4|4|4|2019-10-22||Met|2019
37683386120935|Albert Einstein Academy Charter Elementary|2||5|4|5|5|5|5|4|5|5|5|5|4|5|5|5|5|5|5|5|5|5|5|5|2019-11-12||Met|2019
37683380111898|Albert Einstein Academy Charter Middle|2||5|4|5|5|5|5|4|5|5|5|5|4|5|5|5|4|5|5|5|5|5|5|5|2019-11-12||Met|2019
12630320111203|Alder Grove Charter School 2|2||4|3|4|3|3|5|3|5|4|3|3|4|4|3|3|4|4|3|4|4|4|4|3|2019-10-08||Met|2019
49705990000000|Alexander Valley Union Elementary|2||5|5|5|4|5|5|5|5|5|5|5|5|5|4|5|5|5|5|5|5|5|5|4|2019-08-15||Met|2019
19647336061543|Alfred B. Nobel Charter Middle|2||5|5|5|4|5|5|5|5|4|5|5|5|5|4|5|5|5|5|5|5|5|5|5|2019-10-29||Met|2019
19757130000000|Alhambra Unified|2||4|4|4|4|3|4|3|4|3|3|4|3|4|3|3|4|3|4|3|3|4|3|3|2019-10-29|In regards to professional learning, the survey indicated that AUSD was in full implementation within ELA, ELD, Math, NGSS and Initial Implementation in Social Science. Both ELD and NGSS increased by one level from the year prior.  Increases within those two areas are due to targeted professional development and added ELD Instructional Specialists.   In providing appropriate instructional materials in the classrooms, the survey indicated that the following areas were at Full Implementation:  ELA and Math.  ELD, NGSS, and History Social Science rated at Initial Implementation.  History Social Science increased from Beginning Development to Initial Implementation.  Besides NGSS and ELD, a focus has shifted to Social Science, too.   In identifying staff instructional needs, the survey remained the same as last year, indicating Full Implementation in ELA and Math and Initial Implementation in ELD, NGSS, and Social Science.   In regards to the LEA’s progress toward implementing standards in other content areas, the survey indicated Full Implementation in CTE and PE, increasing one level from the previous year.  Health, VAPA, and World Languages remained at Initial Implementation.   In addition, the LEA was at Full Implementation in identifying the professional learning needs of all staff.  The survey indicated that the LEA was at Initial Implementation in identifying individual professional learning needs and providing support for teachers who have not mastered standards.|Met|2019
